ItemNumber,Image,Audio,NormName,NameAgr,FrqPerMil.Log10,LOG10(SUBTLWF +1),SUBTLWF +1,SUBTLWF,VisComp,Length,IPA,AltPro,Morphemes,Syllables,Target,First Phoneme,CategoryName,Category-Level Cohesion,Item-Level Cohesion
850,ship_850_mono.jpg,ship_850_mono.wav,ship,0.95,1.999488765,1.999488765,99.88235294,98.88235294,4.5,3,??p,,1,1,ship,?,Vehicles,0.374585132,0.387926671
510,stroller_510_mono.jpg,stroller_510_mono.wav,stroller,1,0.274157849,0.274701057,1.882352941,0.882352941,2.538461538,7,strol?r,,1,2,stroller,s,Vehicles,0.312327349,0.287681505
511,submarine_511_mono.jpg,submarine_511_mono.wav,submarine,0.95,0.908485019,0.908379876,8.098039216,7.098039216,4.428571429,8,s?bm?rin,,1,3,submarine,s,Vehicles,0.219097777,0.308176396
524,tank_524_mono.jpg,tank_524_mono.wav,tank,0.85,1.425044875,1.425009672,26.60784314,25.60784314,4.846153846,4,tæ?k,,1,1,tank,t,Vehicles,0.437139204,0.356032477
544,tire_544_mono.jpg,tire_544_mono.wav,tire,1,1.126131407,1.126214199,13.37254902,12.37254902,3,4,ta??r,ta?r,1,2,tire,t,Vehicles,0.393933013,0.351221503
558,tractor_558_mono.jpg,tractor_558_mono.wav,tractor,1,0.674861141,0.674446866,4.725490196,3.725490196,3.333333333,7,trækt?r,,1,2,tractor,t,Vehicles,0.422608817,0.350635685
559,train_559_mono.jpg,train_559_mono.wav,train,1,1.982542582,1.982537263,96.05882353,95.05882353,4.666666667,4,tren,,1,1,train,t,Vehicles,0.283224578,0.333940001
563,truck_563_mono.jpg,truck_563_mono.wav,truck,0.95,1.868409303,1.868425444,73.8627451,72.8627451,3.75,4,tr?k,,1,1,truck,t,Vehicles,0.594297003,0.390108095
576,unicycle_576_mono.jpg,unicycle_576_mono.wav,unicycle,1,0.086359831,0.084821513,1.215686275,0.215686275,1.5,9,jun?sa?k?l,,1,4,unicycle,j,Vehicles,0.344482724,0.334224564
578,van_578_mono.jpg,van_578_mono.wav,van,0.9,1.722469386,1.722504879,52.78431373,51.78431373,2,3,væn,,1,1,van,v,Vehicles,0.339404168,0.348285556
598,wheelchair_598_cmpd.jpg,wheelchair_598_cmpd.wav,wheelchair,1,0.857332496,0.857095888,7.196078431,6.196078431,3.727272727,6,wilt?er,,2,2,wheelchair,w,Vehicles,0.409299939,0.316033037
