Kitchen Items,bag,basket,blender,bottle,bowl,cabinet,can,can opener,chopsticks,cooler,cork,cup,drawer,flask,fork,grill,jar,kitchen,knife,ladle,measuring cup,nutcracker,plate,refrigerator,rolling pin,spatula,spoon,straw,teapot,toaster,toothpick
-0.059592467,-0.051805638,-0.050562955,-0.04441126,-0.018615887,0.0046562413,-0.052894123,-0.040299978,0.039646138,0.008985344,-0.029898075,0.02007912,-0.02050186,0.00015101263,-0.03075743,0.01513679,-0.024707826,0.0095748,-0.07501907,-0.043829955,-0.021617116,-0.013509089,-0.020880125,-0.032288924,-0.040116966,-0.012784352,0.016953051,0.010773195,-0.013487778,-0.069648445,-0.00086608436,-0.04302794
0.01495553,0.035395347,-0.021962041,0.008779718,-0.027752317,-0.005663804,0.048610438,-0.016997872,-0.05029056,-0.010382464,-0.00037658474,0.04579281,-0.039866846,0.04678485,0.03906708,0.024443936,0.03533542,0.057962675,0.021725712,0.003148156,0.032207884,-0.07531476,0.039791483,0.032438762,0.056048788,-0.0067369207,0.006309092,-0.0072691003,0.03607654,0.038992368,-0.000544305,0.049147803
0.06271734,0.016620707,0.04435748,-0.0555317,0.0013613562,-0.007570725,-0.038788818,0.016104328,0.0141965775,0.07625436,-0.014142679,0.013432422,-0.060485516,0.05973478,-0.043729555,0.03040748,0.048941888,0.05770646,0.008117017,0.06027674,-0.057190757,-0.07507308,0.06453153,-0.0028525528,-0.051025536,0.03213402,0.024175897,0.05932702,-0.049495656,0.04444518,-0.0079079475,0.038231708
-0.029292742,0.07182022,0.049484894,0.042346645,0.048856623,0.068119496,0.046062116,0.049467783,0.06762383,0.03141427,-0.0046959775,0.054882836,0.052380472,0.038345933,0.024436193,0.045056257,0.033688225,0.05947955,4.6553436e-05,0.06567675,0.049310822,0.014520312,0.02770735,0.046718583,0.06287726,0.014058071,0.053860825,0.047998723,0.06487303,0.034529455,0.04995698,0.06185005
0.024000164,0.040336993,-0.057273146,0.06572198,-0.018006094,0.046440464,-0.042086557,-0.03542823,0.033079904,0.042421345,-0.032192875,0.01947215,0.02095571,-0.011484845,0.0076162894,0.02506253,0.02635015,0.020312719,-0.003291646,0.01739662,0.06391435,0.05009935,0.047705874,0.008052077,-0.04167031,0.048415475,0.039924044,0.014970521,-0.034778476,-0.00055558316,-0.03448201,0.06078654
0.065599635,0.024588538,0.0630185,0.055892102,0.061132,-0.042843338,0.044922058,0.05312098,0.07076608,0.0024653906,0.030759046,0.030749613,0.057265345,0.05303079,-0.0062982677,-0.07841207,-0.056979045,0.07642173,0.075460844,-0.03402312,-0.0052794274,-0.013697473,-0.04935298,0.044519395,0.015316405,-0.012570957,-0.0013126994,-0.015933024,-0.011951505,0.070833586,0.035829257,-0.07624449
0.024395175,0.014764387,-0.014338868,0.033905093,-0.012043809,0.059022106,0.043367814,0.019779444,-0.021060983,0.013923765,0.04823146,-0.008258952,-0.00269869,0.0057115387,0.027258534,0.064722,0.006306771,-0.038608104,0.0075168787,0.042379707,0.02993405,-0.076204725,-0.03520644,0.008377474,0.033297732,-0.049728338,-0.013787344,-0.012485883,0.043181416,0.00061112095,0.0066324132,0.058377977
0.029577935,0.0088879485,0.0038752332,0.053494863,0.0058499807,0.022182785,-0.015168284,0.02263528,0.03457756,0.008391195,-0.022859795,-0.01739951,0.020196445,0.06188937,0.022752382,0.019564081,0.012061581,-0.011960829,-0.006501842,0.022342097,0.034088545,0.046749167,0.016417984,0.03198753,-0.03155444,0.05312963,0.039915964,-0.01855801,-0.031945854,0.029422326,0.04696241,0.040249314
-0.02682151,0.04941996,0.024317743,0.05720894,0.039961755,0.037119906,-0.03445192,-0.013155995,-0.053671055,-0.072331354,-0.021672817,0.005806949,0.027970912,0.010946051,0.0077584744,0.035758246,-0.028810462,0.024476515,0.007626491,0.025418421,0.05015424,0.01171754,-0.0055469535,0.008619103,0.040852364,-0.0017205201,0.034704477,-0.019174818,0.030320514,0.047954217,-0.03285936,-0.022885421
-0.041918553,-0.02912973,0.021658696,0.02275084,0.042135857,0.026630057,-0.07166447,0.05782018,0.06741799,0.059927784,-0.0048294505,0.06986089,0.041848257,0.008920162,0.018711843,0.03648528,0.013539079,-0.011668443,-0.024872424,0.051399253,0.07073941,0.05365481,0.00932791,-0.027033424,0.060041644,0.061660204,0.06390756,0.07242412,0.052060787,0.019714609,0.025096122,0.08033424
